"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Eurybia conspicua",-113.559561,53.496685,"cdc,cdround","CAN",NA,"PRESENT",31,"iNaturalist","4172316108","https://www.inaturalist.org/observations/177405422","HUMAN_OBSERVATION",2023,8,7,"2023-08-07T10:16:00","WGS84","iNaturalist research-grade observations","177405422"
"Eurybia conspicua",-114.843219,51.041903,"cdc,cdround","CAN",NA,"PRESENT",31,"iNaturalist","4177396308","https://www.inaturalist.org/observations/177438910","HUMAN_OBSERVATION",2023,8,2,"2023-08-02T10:06:00","WGS84","iNaturalist research-grade observations","177438910"
"Eurybia conspicua",-112.813932,53.675485,"cdc,cdround","CAN",NA,"PRESENT",23,"iNaturalist","4177431962","https://www.inaturalist.org/observations/177941713","HUMAN_OBSERVATION",2023,8,11,"2023-08-11T15:06:08","WGS84","iNaturalist research-grade observations","177941713"
"Eurybia conspicua",-120.717477,49.072271,"cdc,cdround","CAN",NA,"PRESENT",92,"iNaturalist","4177590982","https://www.inaturalist.org/observations/178595114","HUMAN_OBSERVATION",2023,8,15,"2023-08-15T08:19:19","WGS84","iNaturalist research-grade observations","178595114"
"Eurybia conspicua",-106.106457,53.870697,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4400187677","https://www.inaturalist.org/observations/178712292","HUMAN_OBSERVATION",2023,8,16,"2023-08-16T11:17:13","WGS84","iNaturalist research-grade observations","178712292"
"Eurybia conspicua",-115.030655,51.024525,"cdc,cdround","CAN",NA,"PRESENT",3,"iNaturalist","4400031459","https://www.inaturalist.org/observations/178876657","HUMAN_OBSERVATION",2023,8,17,"2023-08-17T12:09:14","WGS84","iNaturalist research-grade observations","178876657"
"Eurybia conspicua",-112.818383,53.677137,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4400045324","https://www.inaturalist.org/observations/179386682","HUMAN_OBSERVATION",2023,8,10,"2023-08-10T10:19:41","WGS84","iNaturalist research-grade observations","179386682"
"Eurybia conspicua",-115.067038,51.031705,"cdc,cdround","CAN",NA,"PRESENT",20,"iNaturalist","4400382203","https://www.inaturalist.org/observations/179581122","HUMAN_OBSERVATION",2023,8,21,"2023-08-21T11:04:29","WGS84","iNaturalist research-grade observations","179581122"
"Eurybia conspicua",-120.779617,49.062953,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4405161754","https://www.inaturalist.org/observations/180135196","HUMAN_OBSERVATION",2023,8,24,"2023-08-24T17:22:29","WGS84","iNaturalist research-grade observations","180135196"
"Eurybia conspicua",-113.797181,54.653546,"cdc,cdround","CAN",NA,"PRESENT",228,"iNaturalist","4405294704","https://www.inaturalist.org/observations/180208301","HUMAN_OBSERVATION",2023,8,21,"2023-08-21T20:16:19","WGS84","iNaturalist research-grade observations","180208301"
